ArrayTaskID	StudyID	SubID	MeasurementID
1	1	1	D1
2	1	2	D1
3	1	3	D1
4	1	4	D1
5	1	5	D1
6	1	6	D1
7	1	7	D1
8	1	8	D1
9	1	9	D1
10	1	10	D1
11	1	11	D1
12	1	12	D1
13	1	13	D1
14	1	14	D1
15	1	15	D1
16	1	16	D1
17	1	17	D1
18	1	18	D1
19	1	19	D1
20	1	20	D1
21	1	21	D1
22	1	22	D1
23	1	23	D1
24	1	24	D1
25	1	25	D1
26	1	26	D1
27	1	27	D1
28	1	28	D1
29	1	29	D1
30	1	30	D1
31	1	31	D1
32	1	32	D1
33	1	33	D1
34	1	34	D1
35	1	35	D1
36	1	36	D1
37	1	37	D1
38	1	38	D1
39	1	39	D1
40	1	40	D1
41	1	41	D1
42	1	42	D1
43	1	43	D1
44	1	44	D1
45	1	45	D1
46	1	46	D1
47	1	47	D1
48	1	48	D1
49	1	49	D1
50	1	50	D1
51	2	1	D1
52	2	2	D1
53	2	3	D1
54	2	4	D1
55	2	5	D1
56	2	6	D1
57	2	7	D1
58	2	8	D1
59	2	9	D1
60	2	10	D1
61	2	11	D1
62	2	12	D1
63	2	13	D1
64	2	14	D1
65	2	15	D1
66	2	16	D1
67	2	17	D1
68	2	18	D1
69	2	19	D1
70	2	20	D1
71	2	22	D1
72	2	23	D1
73	2	24	D1
74	2	25	D1
75	2	26	D1
76	2	27	D1
77	2	28	D1
78	2	29	D1
79	2	31	D1
80	2	32	D1
81	2	33	D1
82	2	34	D1
83	2	35	D1
84	2	36	D1
85	2	37	D1
86	2	38	D1
87	2	39	D1
88	2	40	D1
89	2	41	D1
90	2	42	D1
91	2	43	D1
92	2	44	D1
93	2	45	D1
94	2	46	D1
95	2	47	D1
96	2	48	D1
97	2	49	D1
98	2	50	D1
99	2	51	D1
100	2	52	D1
101	2	1	D2
102	2	2	D2
103	2	3	D2
104	2	4	D2
105	2	5	D2
106	2	6	D2
107	2	7	D2
108	2	8	D2
109	2	9	D2
110	2	10	D2
111	2	11	D2
112	2	12	D2
113	2	13	D2
114	2	14	D2
115	2	15	D2
116	2	16	D2
117	2	17	D2
118	2	18	D2
119	2	19	D2
120	2	20	D2
121	2	22	D2
122	2	23	D2
123	2	24	D2
124	2	25	D2
125	2	26	D2
126	2	27	D2
127	2	28	D2
128	2	29	D2
129	2	31	D2
130	2	32	D2
131	2	33	D2
132	2	34	D2
133	2	35	D2
134	2	36	D2
135	2	37	D2
136	2	38	D2
137	2	39	D2
138	2	40	D2
139	2	41	D2
140	2	42	D2
141	2	43	D2
142	2	44	D2
143	2	45	D2
144	2	46	D2
145	2	47	D2
146	2	48	D2
147	2	49	D2
148	2	50	D2
149	2	51	D2
150	2	52	D2
151	3	1	D1
152	3	2	D1
153	3	3	D1
154	3	4	D1
155	3	5	D1
156	3	6	D1
157	3	7	D1
158	3	8	D1
159	3	9	D1
160	3	10	D1
161	3	11	D1
162	3	12	D1
163	3	13	D1
164	3	14	D1
165	3	15	D1
166	3	16	D1
167	3	17	D1
168	3	18	D1
169	3	19	D1
170	3	20	D1
171	3	21	D1
172	3	22	D1
173	3	23	D1
174	3	24	D1
175	3	25	D1
176	3	26	D1
177	3	27	D1
178	3	28	D1
179	3	29	D1
180	3	30	D1
181	3	31	D1
182	3	32	D1
183	3	33	D1
184	3	34	D1
185	3	35	D1
186	3	36	D1
187	3	37	D1
188	3	38	D1
189	3	39	D1
190	3	40	D1
191	3	41	D1
192	3	42	D1
193	3	43	D1
194	3	44	D1
195	3	45	D1
196	3	46	D1
197	3	1	D1b
198	3	2	D1b
199	3	3	D1b
200	3	4	D1b
201	3	5	D1b
202	3	6	D1b
203	3	7	D1b
204	3	8	D1b
205	3	9	D1b
206	3	10	D1b
207	3	11	D1b
208	3	12	D1b
209	3	13	D1b
210	3	14	D1b
211	3	15	D1b
212	3	16	D1b
213	3	17	D1b
214	3	18	D1b
215	3	19	D1b
216	3	20	D1b
217	3	21	D1b
218	3	22	D1b
219	3	23	D1b
220	3	24	D1b
221	3	25	D1b
222	3	26	D1b
223	3	27	D1b
224	3	28	D1b
225	3	29	D1b
226	3	30	D1b
227	3	31	D1b
228	3	32	D1b
229	3	33	D1b
230	3	34	D1b
231	3	35	D1b
232	3	36	D1b
233	3	37	D1b
234	3	38	D1b
235	3	39	D1b
236	3	40	D1b
237	3	41	D1b
238	3	42	D1b
239	3	43	D1b
240	3	44	D1b
241	3	45	D1b
242	3	46	D1b
243	3	1	D2
244	3	2	D2
245	3	3	D2
246	3	4	D2
247	3	5	D2
248	3	6	D2
249	3	7	D2
250	3	8	D2
251	3	9	D2
252	3	10	D2
253	3	11	D2
254	3	12	D2
255	3	13	D2
256	3	14	D2
257	3	15	D2
258	3	16	D2
259	3	17	D2
260	3	18	D2
261	3	19	D2
262	3	20	D2
263	3	21	D2
264	3	22	D2
265	3	23	D2
266	3	24	D2
267	3	25	D2
268	3	26	D2
269	3	27	D2
270	3	28	D2
271	3	29	D2
272	3	30	D2
273	3	31	D2
274	3	32	D2
275	3	33	D2
276	3	34	D2
277	3	35	D2
278	3	36	D2
279	3	37	D2
280	3	38	D2
281	3	39	D2
282	3	40	D2
283	3	41	D2
284	3	42	D2
285	3	43	D2
286	3	44	D2
287	3	45	D2
288	3	46	D2
