sub_id,trial,target_id,guess_id,guess_number,guess_correct
1,1,1,5,1,FALSE
1,1,1,8,2,TRUE
1,1,1,11,3,FALSE
1,1,1,7,4,FALSE
1,1,1,13,5,FALSE
1,1,1,6,6,FALSE
1,1,1,2,7,TRUE
1,2,12,10,1,TRUE
1,2,12,4,2,FALSE
1,2,12,9,3,FALSE
1,2,12,3,4,FALSE
1,2,12,11,5,TRUE
1,2,12,5,6,FALSE
1,2,12,6,7,FALSE
1,2,12,2,8,FALSE
1,2,12,8,9,FALSE
1,2,12,13,10,TRUE
1,3,7,8,1,FALSE
1,3,7,13,2,FALSE
1,3,7,6,3,TRUE
1,3,7,2,4,FALSE
1,3,7,5,5,TRUE
1,4,3,9,1,FALSE
1,4,3,4,2,TRUE
1,4,3,10,3,FALSE
1,4,3,6,4,FALSE
1,4,3,2,5,TRUE
1,4,3,8,6,FALSE
1,4,3,13,7,FALSE
1,4,3,5,8,TRUE
1,5,9,11,1,TRUE
1,5,9,5,2,FALSE
1,5,9,4,3,FALSE
1,5,9,6,4,FALSE
1,5,9,8,5,TRUE
1,6,4,7,1,FALSE
1,6,4,8,2,FALSE
1,6,4,6,3,TRUE
1,6,4,9,4,FALSE
1,6,4,5,5,TRUE
1,6,4,11,6,FALSE
1,6,4,12,7,FALSE
1,6,4,3,8,TRUE
1,6,4,10,9,FALSE
1,6,4,2,10,TRUE
1,7,6,4,1,TRUE
1,7,6,2,2,FALSE
1,7,6,5,3,FALSE
1,7,6,9,4,FALSE
1,7,6,3,5,FALSE
1,7,6,8,6,FALSE
1,7,6,13,7,FALSE
1,7,6,1,8,FALSE
1,7,6,7,9,TRUE
1,8,13,12,1,TRUE
1,8,13,9,2,FALSE
1,8,13,4,3,FALSE
1,8,13,6,4,FALSE
1,8,13,5,5,FALSE
1,8,13,8,6,FALSE
1,8,13,2,7,FALSE
1,8,13,11,8,TRUE
1,9,8,1,1,TRUE
1,9,8,6,2,FALSE
1,9,8,5,3,FALSE
1,9,8,11,4,FALSE
1,9,8,12,5,FALSE
1,9,8,4,6,FALSE
1,9,8,9,7,TRUE
1,9,8,2,8,FALSE
1,9,8,13,9,FALSE
1,9,8,7,10,FALSE
1,9,8,3,11,FALSE
1,9,8,10,12,TRUE
1,10,5,12,1,FALSE
1,10,5,7,2,TRUE
1,10,5,9,3,FALSE
1,10,5,3,4,TRUE
1,10,5,13,5,FALSE
1,10,5,6,6,FALSE
1,10,5,4,7,TRUE
1,11,11,9,1,TRUE
1,11,11,6,2,FALSE
1,11,11,5,3,FALSE
1,11,11,8,4,FALSE
1,11,11,7,5,FALSE
1,11,11,4,6,FALSE
1,11,11,12,7,TRUE
1,11,11,3,8,FALSE
1,11,11,10,9,FALSE
1,11,11,2,10,FALSE
1,11,11,13,11,TRUE
1,12,2,1,1,TRUE
1,12,2,12,2,FALSE
1,12,2,9,3,FALSE
1,12,2,6,4,FALSE
1,12,2,8,5,FALSE
1,12,2,4,6,TRUE
1,12,2,5,7,FALSE
1,12,2,3,8,TRUE
1,13,10,13,1,FALSE
1,13,10,7,2,FALSE
1,13,10,8,3,TRUE
1,13,10,12,4,TRUE
1,14,9,12,1,FALSE
1,14,9,11,2,TRUE
1,14,9,4,3,FALSE
1,14,9,5,4,FALSE
1,14,9,6,5,FALSE
1,14,9,8,6,TRUE
1,15,8,9,1,TRUE
1,15,8,11,2,FALSE
1,15,8,12,3,FALSE
1,15,8,1,4,TRUE
1,15,8,6,5,FALSE
1,15,8,5,6,FALSE
1,15,8,4,7,FALSE
1,15,8,10,8,TRUE
1,16,4,12,1,FALSE
1,16,4,11,2,FALSE
1,16,4,5,3,TRUE
1,16,4,13,4,FALSE
1,16,4,7,5,FALSE
1,16,4,9,6,FALSE
1,16,4,3,7,TRUE
1,16,4,6,8,TRUE
1,16,4,8,9,FALSE
1,16,4,2,10,TRUE
1,17,5,4,1,TRUE
1,17,5,13,2,FALSE
1,17,5,12,3,FALSE
1,17,5,7,4,TRUE
1,17,5,2,5,FALSE
1,17,5,6,6,FALSE
1,17,5,11,7,FALSE
1,17,5,9,8,FALSE
1,17,5,3,9,TRUE
1,18,7,5,1,TRUE
1,18,7,4,2,FALSE
1,18,7,12,3,FALSE
1,18,7,2,4,FALSE
1,18,7,11,5,FALSE
1,18,7,9,6,FALSE
1,18,7,6,7,TRUE
1,19,3,13,1,FALSE
1,19,3,8,2,FALSE
1,19,3,5,3,TRUE
1,19,3,4,4,TRUE
1,19,3,2,5,TRUE
1,20,12,4,1,FALSE
1,20,12,5,2,FALSE
1,20,12,7,3,FALSE
1,20,12,13,4,TRUE
1,20,12,9,5,FALSE
1,20,12,11,6,TRUE
1,20,12,6,7,FALSE
1,20,12,8,8,FALSE
1,20,12,10,9,TRUE
1,21,11,12,1,TRUE
1,21,11,2,2,FALSE
1,21,11,5,3,FALSE
1,21,11,6,4,FALSE
1,21,11,8,5,FALSE
1,21,11,13,6,TRUE
1,21,11,4,7,FALSE
1,21,11,9,8,TRUE
1,22,1,8,1,TRUE
1,22,1,6,2,FALSE
1,22,1,2,3,TRUE
1,23,6,7,1,TRUE
1,23,6,12,2,FALSE
1,23,6,5,3,FALSE
1,23,6,13,4,FALSE
1,23,6,8,5,FALSE
1,23,6,11,6,FALSE
1,23,6,2,7,FALSE
1,23,6,9,8,FALSE
1,23,6,4,9,TRUE
1,24,10,12,1,TRUE
1,24,10,13,2,FALSE
1,24,10,7,3,FALSE
1,24,10,8,4,TRUE
1,25,13,12,1,TRUE
1,25,13,11,2,TRUE
1,26,2,12,1,FALSE
1,26,2,9,2,FALSE
1,26,2,1,3,TRUE
1,26,2,5,4,FALSE
1,26,2,8,5,FALSE
1,26,2,4,6,TRUE
1,26,2,6,7,FALSE
1,26,2,11,8,FALSE
1,26,2,13,9,FALSE
1,26,2,7,10,FALSE
1,26,2,3,11,TRUE
1,27,3,2,1,TRUE
1,27,3,12,2,FALSE
1,27,3,5,3,TRUE
1,27,3,8,4,FALSE
1,27,3,4,5,TRUE
1,28,8,10,1,TRUE
1,28,8,3,2,FALSE
1,28,8,1,3,TRUE
1,28,8,13,4,FALSE
1,28,8,12,5,FALSE
1,28,8,11,6,FALSE
1,28,8,5,7,FALSE
1,28,8,9,8,TRUE
1,29,13,12,1,TRUE
1,29,13,5,2,FALSE
1,29,13,11,3,TRUE
1,30,11,13,1,TRUE
1,30,11,9,2,TRUE
1,30,11,4,3,FALSE
1,30,11,2,4,FALSE
1,30,11,3,5,FALSE
1,30,11,6,6,FALSE
1,30,11,5,7,FALSE
1,30,11,8,8,FALSE
1,30,11,12,9,TRUE
1,31,9,11,1,TRUE
1,31,9,12,2,FALSE
1,31,9,8,3,TRUE
1,32,12,9,1,FALSE
1,32,12,4,2,FALSE
1,32,12,13,3,TRUE
1,32,12,11,4,TRUE
1,32,12,2,5,FALSE
1,32,12,6,6,FALSE
1,32,12,5,7,FALSE
1,32,12,10,8,TRUE
1,33,7,6,1,TRUE
1,33,7,5,2,TRUE
1,34,1,8,1,TRUE
1,34,1,2,2,TRUE
1,35,2,1,1,TRUE
1,35,2,3,2,TRUE
1,35,2,4,3,TRUE
1,36,4,2,1,TRUE
1,36,4,12,2,FALSE
1,36,4,11,3,FALSE
1,36,4,8,4,FALSE
