sub_id,node_id,node_name,node_race,node_gender,node_stim
1,1,Andy,asian,male,CFD-AM-208-143-N
1,2,Olivia,latine,female,CFD-LF-210-220-N
1,3,Jayden,asian,male,CFD-AM-221-184-N
1,4,Taylor,black,female,CFD-BF-212-315-N
1,5,Tyler,black,male,CFD-BM-200-046-N
1,6,Jack,white,male,CFD-WM-208-068-N
1,7,Vicky,asian,female,CFD-AF-252-135-N
1,8,Adrian,latine,male,CFD-LM-241-125-N
1,9,Samantha,latine,female,CFD-LF-234-139-N
1,10,Anthony,black,male,CFD-BM-247-240-N
1,11,Michael,latine,male,CFD-LM-231-214-N
1,12,Savannah,black,female,CFD-BF-207-004-N
1,13,Angelina,asian,female,CFD-AF-225-141-N
2,1,Dylan,latine,male,CFD-LM-200-045-N
2,2,Sarah,asian,female,CFD-AF-224-026-N
2,3,Ethan,latine,male,CFD-LM-249-001-N
2,4,Christian,black,male,CFD-BM-217-082-N
2,5,Elaine,asian,female,CFD-AF-205-155-N
2,6,David,white,male,CFD-WM-217-070-N
2,7,Kimberly,latine,female,CFD-LF-250-169-N
2,8,Faith,black,female,CFD-BF-207-004-N
2,9,Jason,asian,male,CFD-AM-249-163-N
2,10,Makayla,black,female,CFD-BF-247-179-N
2,11,Victoria,latine,female,CFD-LF-219-223-N
2,12,Malachi,black,male,CFD-BM-246-192-N
2,13,Kevin,asian,male,CFD-AM-242-176-N
3,1,Tiffany,asian,female,CFD-AF-225-141-N
3,2,Madison,latine,female,CFD-LF-234-139-N
3,3,Nevaeh,black,female,CFD-BF-221-223-N
3,4,Anthony,asian,male,CFD-AM-202-079-N
3,5,Aaliyah,black,female,CFD-BF-222-240-N
3,6,Lucas,asian,male,CFD-AM-207-108-N
3,7,Jaden,black,male,CFD-BM-246-192-N
3,8,Sophia,asian,female,CFD-AF-235-170-N
3,9,William,white,male,CFD-WM-232-070-N
3,10,Aiden,latine,male,CFD-LM-210-156-N
3,11,Jayden,black,male,CFD-BM-226-276-N
3,12,Brianna,latine,female,CFD-LF-210-220-N
3,13,Matthew,latine,male,CFD-LM-225-130-N
4,1,Makayla,black,female,CFD-BF-244-231-N
4,2,Kyle,asian,male,CFD-AM-229-224-N
4,3,Emma,latine,female,CFD-LF-211-003-N
4,4,Noah,latine,male,CFD-LM-241-125-N
4,5,Lucas,asian,male,CFD-AM-225-102-N
4,6,Angela,asian,female,CFD-AF-225-141-N
4,7,Ryan,white,male,CFD-WM-214-026-N
4,8,Taylor,black,female,CFD-BF-212-315-N
4,9,Amari,black,male,CFD-BM-239-136-N
4,10,Josiah,black,male,CFD-BM-204-003-N
4,11,Jacob,latine,male,CFD-LM-212-143-N
4,12,Elaine,asian,female,CFD-AF-250-200-N
4,13,Angelina,latine,female,CFD-LF-254-125-N
5,1,Aiden,asian,male,CFD-AM-234-355-N
5,2,Michael,latine,male,CFD-LM-216-082-N
5,3,Faith,black,female,CFD-BF-235-168-N
5,4,Camila,latine,female,CFD-LF-254-125-N
5,5,Jacob,black,male,CFD-BM-200-046-N
5,6,Maya,asian,female,CFD-AF-227-207-N
5,7,Justin,latine,male,CFD-LM-252-076-N
5,8,Andrew,white,male,CFD-WM-219-008-N
5,9,Claire,asian,female,CFD-AF-233-190-N
5,10,Abigail,black,female,CFD-BF-226-119-N
5,11,David,black,male,CFD-BM-247-240-N
5,12,Emma,latine,female,CFD-LF-208-127-N
5,13,Jason,asian,male,CFD-AM-221-184-N
6,1,Kayla,black,female,CFD-BF-217-189-N
6,2,Anna,asian,female,CFD-AF-227-207-N
6,3,Anthony,white,male,CFD-WM-218-074-N
6,4,Victoria,latine,female,CFD-LF-207-198-N
6,5,Daniel,latine,male,CFD-LM-239-075-N
6,6,Nia,black,female,CFD-BF-242-154-N
6,7,Angelina,latine,female,CFD-LF-234-139-N
6,8,Jasmine,asian,female,CFD-AF-239-171-N
6,9,Jacob,latine,male,CFD-LM-247-095-N
6,10,Aiden,asian,male,CFD-AM-251-124-N
6,11,Aaron,asian,male,CFD-AM-237-154-N
6,12,Liam,black,male,CFD-BM-237-188-N
6,13,Tristan,black,male,CFD-BM-239-136-N
7,1,Justin,black,male,CFD-BM-208-065-N
7,2,Joshua,black,male,CFD-BM-226-276-N
7,3,Liam,white,male,CFD-WM-229-129-N
7,4,Sebastian,latine,male,CFD-LM-252-076-N
7,5,Jonathan,asian,male,CFD-AM-244-222-N
7,6,Mia,asian,female,CFD-AF-252-135-N
7,7,Sophia,latine,female,CFD-LF-252-172-N
7,8,Adrian,latine,male,CFD-LM-253-075-N
7,9,Alvin,asian,male,CFD-AM-251-124-N
7,10,Brianna,black,female,CFD-BF-241-222-N
7,11,Nicole,latine,female,CFD-LF-254-125-N
7,12,Jada,black,female,CFD-BF-242-154-N
7,13,Vivian,asian,female,CFD-AF-234-208-N
8,1,Alexander,asian,male,CFD-AM-237-154-N
8,2,Kayla,black,female,CFD-BF-247-179-N
8,3,Adrian,latine,male,CFD-LM-243-075-N
8,4,Angelina,asian,female,CFD-AF-222-134-N
8,5,Jenny,asian,female,CFD-AF-214-139-N
8,6,Bella,latine,female,CFD-LF-212-066-N
8,7,Austin,asian,male,CFD-AM-204-122-N
8,8,Justin,black,male,CFD-BM-205-001-N
8,9,Dylan,latine,male,CFD-LM-249-001-N
8,10,Khloe,black,female,CFD-BF-222-240-N
