measurement_id,sub_id,network,trial,startpoint_id,endpoint_id,opt1_id,opt2_id,correct_choice,sub_choice,correct,rt,dist_opt1,dist_opt2,shortest_path_given_opts,shortest_path_given_start_end,one_impossible_option,two_correct_options
1,1,learned,1,4,9,2,5,2,2,TRUE,9646.79999999702,4,6,4,4,FALSE,FALSE
1,1,learned,2,1,12,8,2,8,8,TRUE,2999.20000000298,3,NA,3,3,TRUE,FALSE
1,1,learned,3,8,12,10,1,10,1,FALSE,4022.900000005961,2,NA,2,2,TRUE,FALSE
1,1,learned,4,12,2,10,13,10,13,FALSE,27819,4,6,4,4,FALSE,FALSE
1,1,learned,5,4,1,5,6,5,5,TRUE,4574.600000008941,4,6,4,2,FALSE,FALSE
1,1,learned,6,3,10,2,4,2,2,TRUE,15702.79999999702,4,5,4,4,FALSE,FALSE
1,1,learned,7,11,10,9,13,NA,13,TRUE,6190.70000000298,3,3,3,2,FALSE,TRUE
1,1,learned,8,3,6,4,5,4,4,TRUE,3710.79999999702,2,3,2,2,FALSE,FALSE
1,1,learned,9,4,9,2,6,2,6,FALSE,10731,4,8,4,4,FALSE,FALSE
1,1,learned,10,10,3,8,12,8,12,FALSE,7690.79999999702,4,7,4,4,FALSE,FALSE
1,1,learned,11,2,6,4,1,4,4,TRUE,4182.899999991059,2,NA,2,2,TRUE,FALSE
1,1,learned,12,8,2,1,9,1,1,TRUE,5934.70000000298,2,NA,2,2,TRUE,FALSE
1,1,learned,13,1,10,8,2,8,8,TRUE,3702.79999999702,2,NA,2,2,TRUE,FALSE
1,1,learned,14,1,4,2,8,2,2,TRUE,3878.5,2,NA,2,2,TRUE,FALSE
1,1,learned,15,3,8,2,5,2,2,TRUE,6830.70000000298,3,5,3,3,FALSE,FALSE
1,1,learned,16,3,7,5,2,5,2,FALSE,12366.79999999702,2,4,2,2,FALSE,FALSE
1,1,learned,17,3,8,2,4,2,2,TRUE,6694.5,3,4,3,3,FALSE,FALSE
1,1,learned,18,2,7,4,1,4,1,FALSE,4190.600000008941,3,NA,3,3,TRUE,FALSE
1,1,learned,19,3,9,2,4,2,2,TRUE,14193.19999998808,4,5,4,4,FALSE,FALSE
1,1,learned,20,5,6,4,3,4,4,TRUE,1819.5999999940395,2,3,2,2,FALSE,FALSE
