measurement_id,sub_id,trial,target_id,guess_id,guess_number,guess_correct
1,1,1,3,4,1,1
1,1,1,3,8,2,0
1,1,1,3,5,3,1
1,1,2,1,2,1,1
1,1,2,1,8,2,1
1,1,3,10,12,1,1
1,1,3,10,9,2,0
1,1,3,10,4,3,0
1,1,4,11,9,1,1
1,1,4,11,13,2,1
1,1,5,7,5,1,1
1,1,5,7,6,2,1
1,1,6,12,9,1,0
1,1,6,12,8,2,0
1,1,6,12,11,3,1
1,1,6,12,5,4,0
1,1,7,2,4,1,1
1,1,7,2,8,2,0
1,1,7,2,1,3,1
1,1,8,5,7,1,1
1,1,8,5,12,2,0
1,1,8,5,4,3,1
1,1,9,6,4,1,1
1,1,9,6,7,2,1
1,1,10,9,11,1,1
1,1,10,9,4,2,0
1,1,11,13,12,1,1
1,1,11,13,11,2,1
1,1,12,4,11,1,0
1,1,12,4,5,2,1
1,1,12,4,2,3,1
1,1,12,4,3,4,1
1,1,13,8,11,1,0
1,1,13,8,4,2,0
1,1,13,8,1,3,1
1,2,1,5,4,1,1
1,2,1,5,1,2,0
1,2,1,5,3,3,1
1,2,2,13,12,1,1
1,2,2,13,11,2,1
1,2,3,4,7,1,0
1,2,3,4,2,2,1
1,2,3,4,5,3,1
1,2,3,4,6,4,1
1,2,4,6,7,1,1
1,2,4,6,4,2,1
1,2,5,8,1,1,1
1,2,5,8,9,2,1
1,2,5,8,10,3,1
1,2,6,9,8,1,1
1,2,6,9,11,2,1
1,2,7,3,5,1,1
1,2,7,3,4,2,1
1,2,7,3,2,3,1
1,2,8,2,4,1,1
1,2,8,2,7,2,0
1,2,8,2,3,3,1
1,2,9,1,2,1,1
1,2,9,1,8,2,1
1,2,10,7,6,1,1
1,2,10,7,4,2,0
1,2,11,11,9,1,1
1,2,11,11,13,2,1
1,2,11,11,12,3,1
1,2,12,10,12,1,1
1,2,12,10,8,2,1
1,2,13,12,10,1,1
1,2,13,12,13,2,1
1,2,13,12,11,3,1
1,3,1,10,12,1,1
1,3,1,10,8,2,1
1,3,2,1,8,1,1
1,3,2,1,2,2,1
1,3,3,5,3,1,1
1,3,3,5,4,2,1
1,3,3,5,7,3,1
1,3,4,11,13,1,1
1,3,4,11,9,2,1
1,3,4,11,12,3,1
1,3,5,7,6,1,1
1,3,5,7,5,2,1
1,3,6,8,1,1,1
1,3,6,8,9,2,1
1,3,6,8,10,3,1
1,3,7,3,5,1,1
1,3,7,3,4,2,1
1,3,7,3,2,3,1
1,3,8,13,12,1,1
1,3,8,13,11,2,1
1,3,9,4,6,1,1
1,3,9,4,2,2,1
1,3,9,4,3,3,1
1,3,9,4,5,4,1
1,3,10,9,8,1,1
1,3,10,9,11,2,1
1,3,11,12,13,1,1
1,3,11,12,10,2,1
1,3,12,2,3,1,1
1,3,12,2,4,2,1
1,3,12,2,1,3,1
1,3,13,6,4,1,1
1,3,13,6,7,2,1
1,4,1,12,11,1,1
1,4,1,12,13,2,1
1,4,1,12,10,3,1
1,4,2,9,5,1,0
1,4,2,9,8,2,1
1,4,3,1,2,1,1
1,4,3,1,8,2,1
1,4,4,6,7,1,1
1,4,4,6,11,2,0
1,4,4,6,4,3,1
1,4,5,10,8,1,1
1,4,5,10,12,2,1
1,4,6,4,11,1,0
1,4,6,4,3,2,1
1,4,6,4,7,3,0
1,4,7,8,9,1,1
1,4,7,8,10,2,1
1,4,7,8,1,3,1
1,4,8,2,3,1,1
1,4,8,2,1,2,1
1,4,9,7,6,1,1
1,4,9,7,5,2,1
1,4,10,3,5,1,1
1,4,10,3,11,2,0
1,4,10,3,4,3,1
1,4,11,13,12,1,1
1,4,11,13,11,2,1
1,4,12,5,3,1,1
1,4,12,5,7,2,1
1,4,12,5,4,3,1
1,4,13,11,13,1,1
1,4,13,11,4,2,0
1,4,13,11,12,3,1
1,5,1,6,7,1,1
1,5,1,6,10,2,0
1,5,2,3,2,1,1
1,5,2,3,11,2,0
1,5,3,10,9,1,0
1,5,3,10,13,2,0
1,5,3,10,12,3,1
1,5,3,10,2,4,0
1,5,4,4,7,1,0
