sub_id,trial,target_id,guess_id,guess_number,guess_correct
1,1,9,12,1,FALSE
1,1,9,6,2,FALSE
1,1,9,4,3,FALSE
1,1,9,1,4,FALSE
1,1,9,7,5,FALSE
1,1,9,13,6,FALSE
1,1,9,5,7,FALSE
1,1,9,10,8,FALSE
1,1,9,8,9,TRUE
1,1,9,3,10,FALSE
1,1,9,11,11,TRUE
1,2,10,12,1,TRUE
1,2,10,6,2,FALSE
1,2,10,13,3,FALSE
1,2,10,1,4,FALSE
1,2,10,2,5,FALSE
1,2,10,3,6,FALSE
1,2,10,8,7,TRUE
1,3,8,9,1,TRUE
1,3,8,5,2,FALSE
1,3,8,11,3,FALSE
1,3,8,10,4,TRUE
1,3,8,12,5,FALSE
1,3,8,2,6,FALSE
1,3,8,3,7,FALSE
1,3,8,1,8,TRUE
1,4,3,7,1,FALSE
1,4,3,5,2,TRUE
1,4,3,11,3,FALSE
1,4,3,4,4,TRUE
1,4,3,8,5,FALSE
1,4,3,6,6,FALSE
1,4,3,12,7,FALSE
1,4,3,13,8,FALSE
1,4,3,1,9,FALSE
1,4,3,9,10,FALSE
1,4,3,2,11,TRUE
1,5,11,5,1,FALSE
1,5,11,2,2,FALSE
1,5,11,3,3,FALSE
1,5,11,9,4,TRUE
1,5,11,8,5,FALSE
1,5,11,13,6,TRUE
1,5,11,1,7,FALSE
1,5,11,12,8,TRUE
1,6,1,9,1,FALSE
1,6,1,2,2,TRUE
1,6,1,11,3,FALSE
1,6,1,5,4,FALSE
1,6,1,10,5,FALSE
1,6,1,4,6,FALSE
1,6,1,8,7,TRUE
1,7,2,12,1,FALSE
1,7,2,9,2,FALSE
1,7,2,13,3,FALSE
1,7,2,5,4,FALSE
1,7,2,11,5,FALSE
1,7,2,1,6,TRUE
1,7,2,8,7,FALSE
1,7,2,7,8,FALSE
1,7,2,10,9,FALSE
1,7,2,4,10,TRUE
1,7,2,6,11,FALSE
1,7,2,3,12,TRUE
1,8,13,12,1,TRUE
1,8,13,2,2,FALSE
1,8,13,11,3,TRUE
1,9,4,13,1,FALSE
1,9,4,5,2,TRUE
1,9,4,1,3,FALSE
1,9,4,9,4,FALSE
1,9,4,12,5,FALSE
1,9,4,2,6,TRUE
1,9,4,6,7,TRUE
1,9,4,3,8,TRUE
1,10,5,4,1,TRUE
1,10,5,6,2,FALSE
1,10,5,3,3,TRUE
1,10,5,13,4,FALSE
1,10,5,9,5,FALSE
1,10,5,12,6,FALSE
1,10,5,2,7,FALSE
1,10,5,8,8,FALSE
1,10,5,11,9,FALSE
1,10,5,10,10,FALSE
1,10,5,1,11,FALSE
1,10,5,7,12,TRUE
1,11,6,4,1,TRUE
1,11,6,5,2,FALSE
