sub_id,node_id,node_name,node_race,node_gender,node_stim
1,1,Vivian,asian,female,CFD-AF-240-206-N
1,2,Kayla,black,female,CFD-BF-207-004-N
1,3,Elijah,black,male,CFD-BM-207-024-N
1,4,Abigail,white,female,CFD-WF-244-163-N
1,5,Sophia,asian,female,CFD-AF-211-066-N
1,6,David,latine,male,CFD-LM-252-076-N
1,7,Nicole,latine,female,CFD-LF-226-174-N
1,8,Emily,latine,female,CFD-LF-207-198-N
1,9,Zoe,black,female,CFD-BF-201-080-N
1,10,Aaron,asian,male,CFD-AM-234-355-N
1,11,Samuel,white,male,CFD-WM-247-084-N
1,12,Emma,white,female,CFD-WF-208-068-N
1,13,Brandon,latine,male,CFD-LM-211-128-N
2,1,Daniel,latine,male,CFD-LM-216-082-N
2,2,Vincent,asian,male,CFD-AM-201-076-N
2,3,Esther,white,female,CFD-WF-244-163-N
2,4,Hailey,latine,female,CFD-LF-212-066-N
2,5,Ashley,asian,female,CFD-AF-247-278-N
2,6,Emily,latine,female,CFD-LF-213-079-N
2,7,Ella,white,female,CFD-WF-212-050-N
2,8,Liam,white,male,CFD-WM-245-123-N
2,9,Makayla,black,female,CFD-BF-244-231-N
2,10,Nathaniel,black,male,CFD-BM-229-209-N
2,11,Nicholas,white,male,CFD-WM-219-008-N
2,12,Angel,latine,male,CFD-LM-210-156-N
2,13,Tristan,black,male,CFD-BM-204-003-N
3,1,Sarah,white,female,CFD-WF-213-031-N
3,2,Joseph,white,male,CFD-WM-245-123-N
3,3,Grace,asian,female,CFD-AF-224-026-N
3,4,Ava,black,female,CFD-BF-222-240-N
3,5,Samuel,white,male,CFD-WM-239-128-N
3,6,Anthony,asian,male,CFD-AM-211-052-N
3,7,Samantha,latine,female,CFD-LF-229-164-N
3,8,Jacob,latine,male,CFD-LM-239-075-N
3,9,Mia,asian,female,CFD-AF-209-006-N
3,10,Chelsea,black,female,CFD-BF-210-130-N
3,11,Tyler,black,male,CFD-BM-217-082-N
3,12,Hailey,latine,female,CFD-LF-206-078-N
3,13,Andy,asian,male,CFD-AM-242-176-N
