param_name,param_value_raw,optim_value,convergence,optimizer_run,param_value_human_readable
sr_gamma,2.635768360294967,77.55052353016343,converged,1,0.9237971105105974
softmax_temperature,9.446731807405055,77.55052353016343,converged,1,9.446731807405055
sr_gamma,2.632306191655954,77.55052483674186,converged,2,0.9235829112957404
softmax_temperature,9.443232891538916,77.55052483674186,converged,2,9.443232891538916
sr_gamma,2.637051448054833,77.55052357176037,converged,3,0.9238763302416926
softmax_temperature,9.453610436413529,77.55052357176037,converged,3,9.453610436413529
sr_gamma,2.6359343967042403,77.55052383060551,converged,4,0.9238073668043358
softmax_temperature,9.44566177819246,77.55052383060551,converged,4,9.44566177819246
sr_gamma,2.6366400427406944,77.55052348091637,converged,5,0.9238509390611217
softmax_temperature,9.45359064011566,77.55052348091637,converged,5,9.45359064011566
sr_gamma,2.6335137765498535,77.55052372765363,converged,6,0.9236576957222806
softmax_temperature,9.444236472065516,77.55052372765363,converged,6,9.444236472065516
sr_gamma,2.6359741250981177,77.55052335750138,converged,7,0.9238098206622898
softmax_temperature,9.450464686169209,77.55052335750138,converged,7,9.450464686169209
sr_gamma,2.641057887988557,77.55052672223182,converged,8,0.9241231276143385
softmax_temperature,9.474468301189674,77.55052672223182,converged,8,9.474468301189674
sr_gamma,2.6357725366087372,77.55052338982331,converged,9,0.9237973685052382
softmax_temperature,9.448138020333753,77.55052338982331,converged,9,9.448138020333753
sr_gamma,2.6343057268149765,77.55052340979518,converged,10,0.923706697902147
softmax_temperature,9.445236598041678,77.55052340979518,converged,10,9.445236598041678
sr_gamma,2.635082022033639,77.55052354950284,converged,11,0.9237546988120234
softmax_temperature,9.44402961676067,77.55052354950284,converged,11,9.44402961676067
sr_gamma,2.6367875130842657,77.55052349835856,converged,12,0.9238600417005937
softmax_temperature,9.452972049482653,77.55052349835856,converged,12,9.452972049482653
sr_gamma,2.6351245962942524,77.5505239624698,converged,13,0.9237573303864153
softmax_temperature,9.452574724531,77.5505239624698,converged,13,9.452574724531
sr_gamma,2.6357701157792883,77.55052349246778,converged,14,0.9237972189569562
softmax_temperature,9.452198831754895,77.55052349246778,converged,14,9.452198831754895
sr_gamma,2.6369511720440397,77.55052482532378,converged,15,0.9238701422245432
softmax_temperature,9.446373625476777,77.55052482532378,converged,15,9.446373625476777
sr_gamma,2.6352732959519063,77.55052350144896,converged,16,0.9237665209581613
softmax_temperature,9.450646722177629,77.55052350144896,converged,16,9.450646722177629
sr_gamma,2.6350741250738734,77.55052355876356,converged,17,0.9237542106792632
softmax_temperature,9.443939853248331,77.55052355876356,converged,17,9.443939853248331
sr_gamma,2.635093391741375,77.5505235528738,converged,18,0.9237554015990042
softmax_temperature,9.444044732642855,77.5505235528738,converged,18,9.444044732642855
sr_gamma,56.02498532709097,77.68521225471197,converged,19,0.99
softmax_temperature,34.07842371216155,77.68521225471197,converged,19,34.07842371216155
sr_gamma,2.6358688726450383,77.55052402648168,converged,20,0.9238033194707179
softmax_temperature,9.45539130444753,77.55052402648168,converged,20,9.45539130444753
sr_gamma,25.21271448208561,77.68521237202368,converged,21,0.9899999999888854
softmax_temperature,34.065213475792014,77.68521237202368,converged,21,34.065213475792014
sr_gamma,2.6378174228539795,77.55052389007186,converged,22,0.9239235806937426
softmax_temperature,9.455196842535372,77.55052389007186,converged,22,9.455196842535372
sr_gamma,2.632852624224116,77.55052385272738,converged,23,0.9236167609604329
softmax_temperature,9.441002630715403,77.55052385272738,converged,23,9.441002630715403
sr_gamma,2.6360285880677417,77.55052348946938,converged,24,0.9238131844765759
softmax_temperature,9.448206293935467,77.55052348946938,converged,24,9.448206293935467
sr_gamma,2.6334113228909803,77.55052396442,converged,25,0.9236513539134132
softmax_temperature,9.445210973152799,77.55052396442,converged,25,9.445210973152799
