study,sub_id,measurement_id,model,param_name,param_value,neg_loglik
Study 1,1,D1,bfs,search_threshold,5.676199515598556,75.02654328024434
Study 1,1,D1,bfs,lapse_rate,0.22283957205127117,75.02654328024434
Study 1,1,D1,hybrid,search_threshold,6.0395807532992025,73.76915093482626
Study 1,1,D1,hybrid,sr_gamma,0.838817802083622,73.76915093482626
Study 1,1,D1,hybrid,softmax_temperature,0.8732282436833891,73.76915093482626
Study 1,1,D1,sr,sr_gamma,2.1141826544055927e-10,72.08632017936354
Study 1,1,D1,sr,softmax_temperature,1.9997831760294804,72.08632017936354
Study 1,1,D1,sr,lapse_rate,0.4814658813890306,72.08632017936354
Study 1,2,D1,bfs,search_threshold,4.240870188357508,76.9132048305428
Study 1,2,D1,bfs,lapse_rate,1.2651894912517413e-8,76.9132048305428
Study 1,2,D1,hybrid,search_threshold,2.2134183829453278,76.78194814272054
Study 1,2,D1,hybrid,sr_gamma,2.389455160450257e-7,76.78194814272054
Study 1,2,D1,hybrid,softmax_temperature,1.0158142784089357,76.78194814272054
Study 1,2,D1,sr,sr_gamma,0.804020854848568,75.41680392467823
Study 1,2,D1,sr,softmax_temperature,2.1400722687181606,75.41680392467823
Study 1,2,D1,sr,lapse_rate,0.7246875082617458,75.41680392467823
Study 1,3,D1,bfs,search_threshold,8.665328960345569,45.059043193392526
Study 1,3,D1,bfs,lapse_rate,8.049783652436835e-11,45.059043193392526
Study 1,3,D1,hybrid,search_threshold,3.7653085041459895,36.47674931640462
Study 1,3,D1,hybrid,sr_gamma,0.01094157159989693,36.47674931640462
Study 1,3,D1,hybrid,softmax_temperature,944047.038700127,36.47674931640462
Study 1,3,D1,sr,sr_gamma,0.03427739688280284,37.65349119886974
Study 1,3,D1,sr,softmax_temperature,13.944934794601007,37.65349119886974
Study 1,3,D1,sr,lapse_rate,0.0954058310523854,37.65349119886974
Study 1,4,D1,bfs,search_threshold,6.532306023183094,60.35394746833423
Study 1,4,D1,bfs,lapse_rate,2.9638261613884627e-10,60.35394746833423
Study 1,4,D1,hybrid,search_threshold,6.611349831374086e-6,54.56972181516477
Study 1,4,D1,hybrid,sr_gamma,0.21284512767365724,54.56972181516477
Study 1,4,D1,hybrid,softmax_temperature,1.1038388409285822,54.56972181516477
Study 1,4,D1,sr,sr_gamma,0.20935688856610415,54.57288727181823
Study 1,4,D1,sr,softmax_temperature,0.09849713160654044,54.57288727181823
Study 1,4,D1,sr,lapse_rate,6.437573360176256e-9,54.57288727181823
Study 1,5,D1,bfs,search_threshold,1.2781736487192344e-15,79.71192576439371
Study 1,5,D1,bfs,lapse_rate,0.9999999999998448,79.71192576439371
Study 1,5,D1,hybrid,search_threshold,2.6988759241757303e-9,79.62595133011683
Study 1,5,D1,hybrid,sr_gamma,0.3870995458732481,79.62595133011683
Study 1,5,D1,hybrid,softmax_temperature,0.9938208111760516,79.62595133011683
Study 1,5,D1,sr,sr_gamma,0.38577569851459975,79.60636377579112
Study 1,5,D1,sr,softmax_temperature,-0.00526999948405664,79.60636377579112
Study 1,5,D1,sr,lapse_rate,0.0025002122729786,79.60636377579112
Study 1,6,D1,bfs,search_threshold,7.064406712706346,60.534452636336745
Study 1,6,D1,bfs,lapse_rate,0.02797766965609995,60.534452636336745
Study 1,6,D1,hybrid,search_threshold,1.8035912157215508,59.58206722973211
Study 1,6,D1,hybrid,sr_gamma,0.29399220331617,59.58206722973211
Study 1,6,D1,hybrid,softmax_temperature,1.0918663325510487,59.58206722973211
Study 1,6,D1,sr,sr_gamma,0.0807425627981488,58.56668759667051
Study 1,6,D1,sr,softmax_temperature,0.31693495779112807,58.56668759667051
Study 1,6,D1,sr,lapse_rate,0.18523761610411307,58.56668759667051
Study 1,7,D1,bfs,search_threshold,7.3796165534999325,69.94355622485364
Study 1,7,D1,bfs,lapse_rate,0.260239737652551,69.94355622485364
Study 1,7,D1,hybrid,search_threshold,0.00130840255054278,70.28784217144201
Study 1,7,D1,hybrid,sr_gamma,0.6570038300901696,70.28784217144201
Study 1,7,D1,hybrid,softmax_temperature,1.087935215267488,70.28784217144201
Study 1,7,D1,sr,sr_gamma,0.6404654328052085,70.6915594991905
Study 1,7,D1,sr,softmax_temperature,0.11316554382051444,70.6915594991905
Study 1,7,D1,sr,lapse_rate,0.20760980461372291,70.6915594991905
Study 1,8,D1,bfs,search_threshold,8.759015437917519,71.68224575688551
Study 1,8,D1,bfs,lapse_rate,0.41370905009234554,71.68224575688551
Study 1,8,D1,hybrid,search_threshold,1.4372773345540443e-5,70.79552982767088
Study 1,8,D1,hybrid,sr_gamma,0.8147421484795689,70.79552982767088
Study 1,8,D1,hybrid,softmax_temperature,1.125747037493793,70.79552982767088
Study 1,8,D1,sr,sr_gamma,0.9075433204932116,70.65869211634049
Study 1,8,D1,sr,softmax_temperature,0.6786199053182095,70.65869211634049
Study 1,8,D1,sr,lapse_rate,0.5061469140853601,70.65869211634049
Study 1,9,D1,bfs,search_threshold,29.45839603202289,43.85192725786135
Study 1,9,D1,bfs,lapse_rate,0.1076435673814505,43.85192725786135
Study 1,9,D1,hybrid,search_threshold,5.1556067481129375,46.97894402776818
Study 1,9,D1,hybrid,sr_gamma,0.989997711585987,46.97894402776818
Study 1,9,D1,hybrid,softmax_temperature,8.096771238879308,46.97894402776818
Study 1,9,D1,sr,sr_gamma,0.9673323170967736,41.18893067544054
Study 1,9,D1,sr,softmax_temperature,52.16086369371814,41.18893067544054
Study 1,9,D1,sr,lapse_rate,0.2279296070536651,41.18893067544054
Study 1,10,D1,bfs,search_threshold,3.2659546382984876,79.09288501739465
Study 1,10,D1,bfs,lapse_rate,7.66300855558607e-6,79.09288501739465
Study 1,10,D1,hybrid,search_threshold,4.007361044239239,78.93698107131253
Study 1,10,D1,hybrid,sr_gamma,0.8313950389258907,78.93698107131253
Study 1,10,D1,hybrid,softmax_temperature,0.967531652385316,78.93698107131253
Study 1,10,D1,sr,sr_gamma,0.04123645832012247,79.26130077191831
Study 1,10,D1,sr,softmax_temperature,0.00733059830822842,79.26130077191831
Study 1,10,D1,sr,lapse_rate,3.5467496177968955e-4,79.26130077191831
