param_name,param_value_raw,optim_value,convergence,optimizer_run,param_value_human_readable
sr_gamma,-2.7785254423265426,33.955898699460924,converged,1,0.05791075530466549
softmax_temperature,3531.4420774207,33.955898699460924,converged,1,3531.4420774207
sr_gamma,172.27041336790745,59.60877288311558,converged,2,0.99
softmax_temperature,138.8746644354124,59.60877288311558,converged,2,138.8746644354124
sr_gamma,-2.484019729262279,33.9574867704532,converged,3,0.07621621639261494
softmax_temperature,2068.6824148293117,33.9574867704532,converged,3,2068.6824148293117
sr_gamma,-2.911345561361375,33.95575399960806,converged,4,0.05107959723580248
softmax_temperature,4517.109632896983,33.95575399960806,converged,4,4517.109632896983
sr_gamma,-17.86435979383532,79.71192554397436,converged,5,1.7268010570124618e-8
softmax_temperature,1.2926182573719416,79.71192554397436,converged,5,1.2926182573719416
sr_gamma,-2.8922907072959925,33.95575939852645,converged,6,0.052010619565668145
softmax_temperature,4358.368636022069,33.95575939852645,converged,6,4358.368636022069
sr_gamma,174.26406620325506,59.608773070338984,converged,7,0.99
softmax_temperature,138.88277433765123,59.608773070338984,converged,7,138.88277433765123
sr_gamma,-2.90692055769094,33.95575465497469,converged,8,0.05129438846856289
softmax_temperature,4479.339019767604,33.95575465497469,converged,8,4479.339019767604
sr_gamma,-2.4556638485464015,33.95775735438688,converged,9,0.0782350947584965
softmax_temperature,1967.8329125288083,33.95775735438688,converged,9,1967.8329125288083
sr_gamma,-2.919188401466906,33.955753189279484,converged,10,0.05070099117966161
softmax_temperature,4582.503993263188,33.955753189279484,converged,10,4582.503993263188
sr_gamma,-2.6296615286551472,33.95643507661386,converged,11,0.06658114319633451
softmax_temperature,2689.5909465427494,33.95643507661386,converged,11,2689.5909465427494
sr_gamma,-2.738822351190368,33.95600308460566,converged,12,0.06011382424495738
softmax_temperature,3281.644171746082,33.95600308460566,converged,12,3281.644171746082
sr_gamma,33.96886591780999,59.60877456107962,converged,13,0.9899999999999982
softmax_temperature,138.8065533849788,59.60877456107962,converged,13,138.8065533849788
sr_gamma,289.67272297641045,59.60877342587117,converged,14,0.99
softmax_temperature,138.82751250671112,59.60877342587117,converged,14,138.82751250671112
sr_gamma,-2.710807956575562,33.956092684787215,converged,15,0.061715221514465374
softmax_temperature,3117.2089156252846,33.956092684787215,converged,15,3117.2089156252846
sr_gamma,171.49079460265153,59.60877293654668,converged,16,0.99
softmax_temperature,138.87737576482385,59.60877293654668,converged,16,138.87737576482385
sr_gamma,-2.521833629259141,33.95715288891578,converged,17,0.07359824882049172
softmax_temperature,2213.771124616298,33.95715288891578,converged,17,2213.771124616298
sr_gamma,-2.7074703234273345,33.95609109082664,converged,18,0.061908645970358646
softmax_temperature,3101.4595489050434,33.95609109082664,converged,18,3101.4595489050434
sr_gamma,-2.8451459927530838,33.95579346299693,converged,19,0.054383442359976955
softmax_temperature,3993.5196878859115,33.95579346299693,converged,19,3993.5196878859115
sr_gamma,38.67219268593133,59.60877298467188,converged,20,0.99
softmax_temperature,138.87949310478217,59.60877298467188,converged,20,138.87949310478217
sr_gamma,-2.914285857994088,33.955753703771656,converged,21,0.05093734481524222
softmax_temperature,4541.980870028012,33.955753703771656,converged,21,4541.980870028012
sr_gamma,169.9837963015396,59.608773770400695,converged,22,0.99
softmax_temperature,138.81998214835892,59.608773770400695,converged,22,138.81998214835892
sr_gamma,-19.16468807484489,79.71192570436988,converged,23,4.704537278752852e-9
softmax_temperature,1.292021274304716,79.71192570436988,converged,23,1.292021274304716
sr_gamma,-2.9138670459317972,33.95575449027847,converged,24,0.05095758415990843
softmax_temperature,4535.86570575322,33.95575449027847,converged,24,4535.86570575322
sr_gamma,-2.881799235324551,33.9557635717428,converged,25,0.05253005407246568
softmax_temperature,4275.481943445509,33.9557635717428,converged,25,4275.481943445509
