iter,from,to
1,13,11
1,3,4
1,7,6
1,8,1
1,12,10
1,3,5
1,2,1
1,6,4
1,2,4
1,4,5
1,3,2
1,6,7
1,1,2
1,12,13
1,2,3
1,13,12
1,5,7
1,10,12
1,5,3
1,9,11
1,11,9
1,4,6
1,8,9
1,10,8
1,4,3
1,4,2
1,5,4
1,8,10
1,11,13
1,1,8
1,11,12
1,9,8
1,12,11
1,7,5
2,2,3
2,8,10
2,11,12
2,12,10
2,6,4
2,8,9
2,5,7
2,5,3
2,9,8
2,4,3
2,11,9
2,2,4
2,7,5
2,9,11
2,10,8
2,12,13
2,3,4
2,4,2
2,13,12
2,3,2
2,7,6
2,1,8
2,1,2
2,6,7
2,4,5
2,2,1
2,12,11
2,10,12
2,11,13
2,8,1
2,4,6
2,5,4
2,3,5
2,13,11
3,12,13
3,13,12
3,4,5
3,2,3
3,12,10
3,5,7
3,13,11
3,10,12
3,9,8
3,6,4
3,5,4
3,8,1
3,9,11
3,10,8
3,3,2
3,2,1
3,12,11
3,6,7
3,4,6
3,5,3
3,8,10
3,1,2
3,8,9
3,1,8
3,3,4
3,4,3
3,11,9
3,11,13
3,7,5
3,4,2
3,2,4
3,3,5
3,7,6
3,11,12
4,3,4
4,9,11
4,1,2
4,8,10
4,4,2
4,13,11
4,3,5
4,6,7
4,8,9
4,12,13
4,8,1
4,2,1
4,13,12
4,6,4
4,10,12
4,7,5
4,1,8
4,4,5
4,5,7
4,5,3
4,9,8
4,2,4
4,11,13
4,11,9
4,4,6
4,3,2
4,5,4
4,2,3
4,12,10
4,7,6
4,12,11
4,11,12
4,10,8
4,4,3
5,12,13
5,10,12
5,8,1
5,2,1
5,9,11
5,3,2
5,7,5
5,13,12
5,1,2
5,4,6
5,2,3
5,11,13
5,12,11
5,4,3
5,7,6
5,11,9
5,8,9
5,4,2
5,12,10
5,9,8
5,3,5
5,3,4
5,1,8
5,13,11
5,6,7
5,4,5
5,8,10
5,2,4
5,11,12
5,6,4
5,5,4
5,5,3
5,10,8
5,5,7
6,1,2
6,10,12
6,9,11
6,11,9
6,11,13
6,3,5
6,12,11
6,2,1
6,4,6
6,8,10
6,3,4
6,2,4
6,10,8
6,6,4
6,7,6
6,7,5
6,1,8
6,5,4
6,4,2
6,12,10
6,4,5
6,5,7
6,6,7
6,2,3
6,3,2
6,9,8
6,5,3
6,4,3
6,12,13
6,13,11
6,8,1
6,8,9
6,13,12
6,11,12
7,10,12
7,1,2
7,4,3
7,6,7
7,2,4
7,8,10
7,11,9
7,11,12
7,12,11
7,8,9
7,3,5
7,9,8
7,10,8
7,13,12
7,6,4
7,4,6
7,7,6
7,3,4
7,8,1
7,5,7
7,5,4
7,2,1
7,1,8
7,7,5
7,3,2
7,12,10
7,11,13
7,5,3
7,4,2
7,4,5
7,12,13
7,13,11
7,9,11
7,2,3
8,8,10
8,11,12
8,12,10
8,4,3
8,11,9
8,1,8
8,4,5
8,12,13
8,3,5
8,8,1
8,8,9
8,11,13
8,5,4
8,13,12
8,4,2
8,9,8
8,1,2
8,12,11
8,13,11
8,3,2
8,2,1
8,2,3
8,10,8
8,9,11
8,7,5
8,3,4
8,6,7
8,5,3
8,5,7
8,10,12
8,7,6
8,2,4
8,6,4
8,4,6
9,2,4
9,4,6
9,13,11
9,8,1
9,2,3
9,7,5
9,12,10
9,11,13
9,4,5
9,10,8
9,4,3
9,11,12
9,13,12
9,5,7
9,11,9
9,7,6
9,5,3
9,9,8
9,9,11
9,2,1
9,4,2
9,8,10
9,12,11
9,1,8
9,12,13
9,8,9
9,3,4
9,5,4
9,1,2
9,10,12
9,6,7
9,3,2
9,6,4
9,3,5
10,5,3
10,10,8
10,4,3
10,3,5
10,9,11
10,3,4
10,9,8
10,1,2
10,8,10
10,6,4
10,11,13
10,4,2
10,4,6
10,11,12
10,13,11
10,3,2
10,7,5
10,8,1
10,2,1
10,7,6
10,1,8
10,10,12
10,2,4
10,12,11
10,11,9
10,5,4
10,5,7
10,13,12
10,12,10
10,4,5
10,2,3
10,8,9
10,12,13
10,6,7
11,8,10
11,13,11
11,10,12
11,4,5
11,8,1
11,3,4
11,10,8
11,4,2
11,5,7
11,2,4
11,11,13
11,8,9
11,3,2
11,9,11
11,6,7
11,3,5
11,5,4
11,1,8
11,6,4
11,11,12
11,2,1
11,9,8
11,1,2
11,12,11
11,4,3
11,12,10
11,7,6
11,5,3
11,12,13
11,13,12
11,7,5
11,2,3
11,11,9
11,4,6
12,4,3
12,9,11
12,11,12
12,3,2
12,5,3
12,1,8
12,9,8
12,5,7
12,3,4
12,2,3
12,12,11
12,5,4
12,8,1
12,1,2
12,3,5
12,8,9
12,8,10
12,7,5
12,2,4
12,12,10
12,6,7
12,13,12
12,10,12
12,11,13
12,12,13
12,13,11
12,10,8
12,11,9
12,4,6
12,4,2
12,4,5
12,7,6
12,6,4
12,2,1
13,4,2
13,8,9
13,1,8
13,9,8
13,8,10
13,11,12
13,3,2
13,1,2
13,2,4
13,7,5
13,4,6
13,11,13
13,12,13
13,8,1
13,6,4
13,13,12
13,13,11
13,10,8
13,6,7
13,5,3
13,12,11
13,10,12
13,4,3
13,7,6
13,3,4
13,5,4
13,11,9
13,4,5
13,3,5
13,2,3
13,12,10
13,9,11
13,2,1
13,5,7
14,2,4
14,8,1
14,3,2
14,6,4
14,12,11
14,4,2
14,2,3
14,7,6
14,11,13
14,4,5
14,10,8
14,8,10
14,6,7
14,1,2
14,8,9
14,3,5
14,4,6
14,3,4
14,2,1
14,12,10
14,1,8
14,9,8
14,5,4
14,4,3
14,7,5
14,10,12
14,11,12
14,11,9
14,5,3
14,12,13
14,9,11
14,5,7
14,13,12
14,13,11
15,4,3
15,11,12
15,9,11
15,8,10
15,10,8
15,7,6
15,8,9
15,12,10
15,1,8
15,4,2
15,1,2
15,13,12
15,5,4
15,11,9
15,2,3
15,6,4
15,10,12
15,11,13
15,8,1
15,12,11
15,2,1
15,9,8
15,2,4
15,12,13
15,3,4
15,4,5
15,3,5
15,3,2
15,5,3
15,7,5
15,13,11
15,4,6
15,5,7
15,6,7
16,6,4
16,8,9
16,11,13
16,7,5
16,10,8
16,1,2
16,4,3
16,12,11
16,5,4
16,13,12
16,2,4
16,4,5
16,13,11
16,1,8
16,2,1
16,2,3
16,3,2
16,10,12
16,11,9
16,3,4
16,6,7
16,11,12
16,5,7
16,12,10
16,9,11
16,5,3
16,9,8
16,4,6
16,12,13
16,7,6
16,4,2
16,3,5
16,8,10
16,8,1
17,7,5
17,8,9
17,2,4
17,8,10
17,11,13
17,6,7
17,8,1
17,5,7
17,13,12
17,3,5
17,12,10
17,4,6
17,9,11
17,5,4
17,4,5
17,13,11
17,1,8
17,11,9
17,2,3
17,4,3
17,1,2
17,12,13
17,10,12
17,10,8
17,11,12
17,3,2
17,6,4
17,3,4
17,12,11
17,2,1
17,7,6
17,9,8
17,4,2
17,5,3
18,12,11
18,2,1
18,10,8
18,9,11
18,3,2
18,3,5
18,4,3
18,1,8
18,2,3
18,6,7
18,2,4
18,11,12
18,3,4
18,13,11
18,9,8
18,11,13
18,6,4
18,1,2
18,5,3
18,8,10
18,11,9
18,5,4
18,10,12
18,8,1
18,7,6
18,5,7
18,7,5
18,4,6
18,4,5
18,4,2
18,8,9
18,12,13
18,12,10
18,13,12
19,2,1
19,4,2
19,11,13
19,11,9
19,2,3
19,9,11
19,3,2
19,13,11
19,4,5
19,10,12
19,11,12
19,2,4
19,6,7
19,7,6
19,4,6
19,8,1
19,5,4
19,8,10
19,5,7
19,10,8
19,1,2
19,6,4
19,12,13
19,3,5
19,12,10
19,12,11
19,9,8
19,4,3
19,3,4
19,7,5
19,13,12
19,8,9
19,1,8
19,5,3
20,12,11
20,5,7
20,11,13
20,4,5
20,13,11
20,9,11
20,7,6
20,8,10
20,12,13
20,2,1
20,11,9
20,13,12
20,5,3
20,8,1
20,10,12
20,2,3
20,5,4
20,6,7
20,12,10
20,10,8
20,11,12
20,1,2
20,9,8
20,3,4
20,4,2
20,3,5
20,2,4
20,1,8
20,4,3
20,3,2
20,7,5
20,4,6
20,8,9
20,6,4
21,8,1
21,2,4
21,4,3
21,4,6
21,12,13
21,11,13
21,5,4
21,3,2
21,8,10
